Contrast,Delay,Diameter,Duration,Orientation,Spatial_Frequency,Temporal_Frequency,X,Y
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,0,0,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,0,0,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,0,0,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,0,0,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,90,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
1,0,340,0.25,0,0.04,2,0,0
1,0,340,0.25,45,0.04,2,0,0
0,0,340,0.25,0,0.04,2,0,0
1,0,341,0.25,90,0.04,2,0,0
1,0,341,0.25,45,0.04,2,0,0
1,0,341,0.25,0,0,2,0,0
1,0,341,0.25,45,0.04,2,0,0
0,0,341,0.25,0,0.04,2,0,0
